Smiles,lable
CCN(CC)CCCc1c[nH]c2ccc(NS(=O)(=O)c3ccc4ccccc4c3)cc12,1
CN(C)CCn1ccc2c(NS(=O)(=O)c3ccc4ccccc4c3)cccc21,1
CCN(CC)CCn1ccc2cc(NS(=O)(=O)c3ccc4ccccc4c3)ccc21,1
O=S(=O)(Nc1ccc2ccn(CCN3CCCC3)c2c1)c1c(Cl)nc2sccn12,1
CN(C)CCc1c[nH]c2ccc(NS(=O)(=O)c3ccc4c(Cl)cccc4c3)cc12,1
CN(C)CCn1ccc2cc(NS(=O)(=O)c3ccc4ccccc4c3)ccc21,1
CCN(CC)CCn1ccc2cc(NS(=O)(=O)c3cccc4ccccc34)ccc21,1
O=S(=O)(Nc1ccc2c(ccn2CCN2CCCC2)c1)c1c(Cl)nc2sccn12,1
CCCCN(CCCC)CCc1c[nH]c2ccc(NS(=O)(=O)c3cccc4ccccc34)cc12,1
Cc1cccc2c1N(C1CCN(S(=O)(=O)c3csc4ccccc34)CC1)C(=O)OC2,1
Cc1cccc2c1N(C1CCN(S(=O)(=O)c3cccc4ccccc34)CC1)C(=O)OC2,1
CN(C)CCn1ccc2cc(NS(=O)(=O)c3c(Cl)nc4sccn34)ccc21,1
O=S(=O)(CCc1cccc2ccccc12)Nc1ccc2ccn(CCN3CCCC3)c2c1,1
CN(C)C(=O)C(=O)c1c[nH]c2ccc(NS(=O)(=O)c3c(Cl)nc4sccn34)cc12,1
Cc1cccc2c1N(C1CCN(S(=O)(=O)c3cccc4c(N(C)C)cccc34)CC1)C(=O)OC2,1
Cc1c(S(=O)(=O)Nc2ccc3ccn(CCN4CCCC4)c3c2)sc2ccc(Cl)cc12,1
CN(C)CCn1ccc2c(NS(=O)(=O)c3cccc4ccccc34)cccc21,1
O=S(=O)(Nc1ccc2c(c1)CCNCC2)c1ccccc1,1
CCNc1cc(N2CCNCC2)ccc1S(=O)(=O)c1ccccc1,1
CSc1nn2c(C)c3c(nc2c1S(=O)(=O)c1ccccc1)CCCC3,1
COc1ccc(S(=O)(=O)Nc2cc(Cl)cc(Cl)c2OC)cc1N1CCNCC1,1
CC(=O)N1CCc2ccc(NS(=O)(=O)c3c(Cl)nc4n3CCS4)cc21,1
O=S(=O)(Cl)c1c(Cl)nc2n1CCS2,1
O=S(=O)(Nc1ccc2[nH]ccc2c1)c1c(Cl)nc2n1CCS2,1
CN1CCc2ccc(N3C(=O)CSC34C(=O)Nc3ccccc34)cc2CC1,1
CN1CCc2cc3ccn(S(=O)(=O)c4cccc(Cl)c4)c3cc2CC1,1
O=S(=O)(c1ccccc1)n1ccc2cc3c(cc21)CCNCC3,1
O=S(=O)(c1cccc(Cl)c1)n1ccc2cc3c(cc21)CCNCC3,1
Cn1cc(S(=O)(=O)c2ccccc2)c2cc3c(cc21)CCNCC3,1
COc1cccc(S(=O)(=O)n2ccc3cc4c(cc32)CCNCC4)c1,1
O=S(=O)(c1ccccc1)n1cc(Cl)c2cc3c(cc21)CCNCC3,1
O=S(=O)(c1cccc(Cl)c1)n1cc(Cl)c2cc3c(cc21)CCNCC3,1
O=S(=O)(c1ccsc1)n1ccc2cc3c(cc21)CCNCC3,1
O=S(=O)(c1ccc(Cl)cc1)n1ccc2cc3c(cc21)CCNCC3,1
O=S(=O)(c1ccccc1Cl)n1ccc2cc3c(cc21)CCNCC3,1
Cl.O=S(=O)(c1cccc2ccccc12)c1n[nH]c2ccc(NC3CCNCC3)cc12,1
Cl.O=S(=O)(c1cccc2ccccc12)c1n[nH]c2ccc(CN3CCNCC3)cc12,1
CN(C)CCC(=O)Nc1cccc2c(S(=O)(=O)c3cccc4ccccc34)n[nH]c12.Cl,1
Cl.O=S(=O)(c1ccc(C(F)(F)F)cc1)c1n[nH]c2ccc(NC3CCNCC3)cc12,1
COc1ccc(S(=O)(=O)N2CC(C(=O)N3CCCNCC3)c3ccccc32)c2ccccc12,1
CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)c3cccc4c(Cl)cccc34)c3ccccc32)CC1,1
COc1ccc(S(=O)(=O)N2CC(C(=O)N3CCNCC3)c3ccccc32)c2ccccc12,1
COc1ccc(S(=O)(=O)N2CC(C(=O)N(C)C3CCN(C)CC3)c3ccccc32)c2ccccc12,1
CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)c3ccc(OC(F)(F)F)cc3)c3ccccc32)CC1,1
CCN(CC)CCNC(=O)C1CN(S(=O)(=O)c2ccc(OC)c3ccccc23)c2ccccc21,1
CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)c3ccccc32)CC1,1
COc1ccc(S(=O)(=O)N2CC(C(=O)NC3CCN(C)CC3)c3ccccc32)c2ccccc12,1
CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3ccccc32)CC1,1
CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)c3ccc4ccccc4c3)c3ccccc32)CC1,1
CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)C3=CC4CCOC4C=C3)c3ccccc32)CC1,1
COc1ccc(S(=O)(=O)N2CC(C(=O)NCCCN3CCOCC3)c3ccccc32)c2ccccc12,1
CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)c3cccc4ccccc34)c3ccccc32)CC1,1
COc1ccc(S(=O)(=O)N2CC(C(=O)NC3CC4CCC(C3)N4C)c3ccccc32)c2ccccc12,1
CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)c3cccc(-c4ccccc4)c3)c3ccccc32)CC1,1
COc1ccc(S(=O)(=O)N2CC(C(=O)NC3CCN(Cc4ccccc4)CC3)c3ccccc32)c2ccccc12,1
CN1CCC(N(C)C(=O)C2CN(S(=O)(=O)c3ccc4c(c3)OCCO4)c3ccccc32)CC1,1
COc1cccc(N2CCN(C(=O)C3CN(S(=O)(=O)c4ccc(OC)c5ccccc45)c4ccccc43)CC2)c1,1
Cc1c(S(=O)(=O)N2CC(C(=O)N(C)C3CCN(C)CC3)c3ccccc32)sc2ccc(Cl)cc12,1
COc1ccc(S(=O)(=O)N2CC(C(=O)N3CC(CN)C3)c3ccccc32)c2ccccc12,1
CCN(CC)CCCNC(=O)C1CN(S(=O)(=O)c2ccc(OC)c3ccccc23)c2ccccc21,1
COc1ccc(S(=O)(=O)N2CC(C(=O)NCCCn3ccnc3)c3ccccc32)c2ccccc12,1
COc1ccc(S(=O)(=O)N2CC(C(=O)N(C)C3CCN(C)CC3)c3ccccc32)c(C)c1C,1
COc1cc(C)c(S(=O)(=O)N2CC(C(=O)N(C)C3CCN(C)CC3)c3ccccc32)c(C)c1C,1
CC(C)N1CCCC(n2cc(S(=O)(=O)C3=C(Cl)NC4SC=CN34)c3cccnc32)C1,1
CCN1CCC(n2cc(S(=O)(=O)C3=C(Cl)NC4SC=CN34)c3cccnc32)C1,1
CN1CCC(n2cc(S(=O)(=O)c3cccc(Br)c3)c3cccnc32)C1,1
CN1CCCC(n2cc(S(=O)(=O)c3ccc(Cl)cc3)c3cccnc32)C1,1
O=S(=O)(c1ccccc1F)c1cn(C2CCNC2)c2ncccc12,1
CNc1nn2c3c(cnc2c1S(=O)(=O)c1ccccc1)CCC3,1
CNc1nn2c3c(c(C)nc2c1S(=O)(=O)c1ccccc1)CCC3,1
CNc1nn2cc3c(nc2c1S(=O)(=O)c1ccccc1)CCCC3,1
Cc1nc2c(S(=O)(=O)c3ccccc3)c(N(C)C)nn2c2c1CCC2,1
CN(C)c1nn2c3c(cnc2c1S(=O)(=O)c1ccccc1)CCC3,1
Cl.O=S(=O)(c1cccc(Cl)c1)c1ccc2c(c1)O[C@H]1CNCC[C@@H]21,1
Cl.O=S(=O)(c1cccc(F)c1)c1ccc2c(c1)O[C@H]1CNCC[C@@H]21,1
COc1ccc(NS(=O)(=O)c2ccc(I)cc2)cc1N1CCN(C)CC1,1
CN1CCC(n2cc(S(=O)(=O)c3cccc(Cl)c3)c3ccccc32)C1,1
CN1CCC(n2cc(S(=O)(=O)c3cccc4ccccc34)c3ccccc32)C1,1
CN1CCC(n2cc(S(=O)(=O)c3cccc(F)c3)c3cc(F)ccc32)C1,1
CSc1nn2c3c(cnc2c1S(=O)(=O)c1ccccc1)CCC3,1
CSc1nn2c3c(c(C)nc2c1S(=O)(=O)c1ccccc1)CCCC3,1
CNCCn1cc(S(=O)(=O)c2cccc(Cl)c2)c2cccnc21,1
