smiles,lable
COC1=CC=C(C=C1)CCCOC(CN2C=CN=C2)C3=CC=C(C=C3)OC.Cl,1
C[C@@H](C(=O)N[C@H]1C2=CC=CC=C2CCN(C1=O)C)NC(=O)[C@H](C(C)C)O,1
CNC1=C2C(=NC=N1)N(C=N2)CC3=CC=CC=C3F,1
COC1=C(C(=C(C=C1)F)F)C(=O)C2=CN=C(N=C2N)NC3CCN(CC3)S(=O)(=O)C,1
C1CNCCC1CCC2=CC(=NC3=CC=CC=C32)C4=CC=CC=C4,1
C1=CC=C(C=C1)OCCCCOC2=C3C=CC(=O)OC3=CC4=C2C=CO4,1
CC1=CN(C=N1)C2=C(C=C(C=C2)/C=C/3\CCCN(C3=O)[C@@H](C)C4=CC=C(C=C4)F)OC,1
CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)N[C@@H](CO)C3=CC(=C(C=C3)OC)OC)CCOC,1
C1C2CNCC1C3=CC4=NC=CN=C4C=C23,1
C1C2CNCC1C3=CC4=NC=CN=C4C=C23.Cl,1
CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CC(=CC=C4)N,1
C1C2CNCC1C3=CC4=NC=CN=C4C=C23.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,1
C1CC(CN(C1)CCC=C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)O.Cl,1
COC1=CC=C(C=C1)CNCC2=CC=CC3=CC=CC=C32.Cl,1
C1CN2C(=O)[C@@H](N=C(C3=CC(=CC1=C32)N)C4=CC=CC=C4)NC(=O)C5=CN=CC=C5,1
C1CN(CCC1NC(=O)C2=CC(=O)C3=C(O2)C=CC(=C3)F)CC4=CC5=C(C=C4)OCO5,1
CCC1=C2C3=CC(=C(C=C3NC2=CN=C1C(=O)OC)OC)OC.Cl,1
CC1=CC(=NO1)C2=NN=CC3=C(C(=NN32)OCC4=NC=NN4C)C(C)(C)C,1
CC1=CN(C=N1)C2=C(C=C(C=C2)NC3=NC4=C(S3)CCCC4C5=CC=CC=C5)OC.Cl,1
C1=CC(=C(C=C1NCC2=C(C(=CC(=C2)Cl)Cl)O)O)C(=O)O,1
C1=CC2=NNN=C2C=C1NCC3=C(C(=CC(=C3)Cl)Cl)O,1
C1CC1C(C2CC2)NC3=NCCO3.C1CC1C(C2CC2)NC3=NCCO3.C(=C/C(=O)O)\C(=O)O,1
C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=S)(O1)[O-].[Na+],1
CC(=O)OCOC(=O)CN(CC(=O)OCOC(=O)C)C1=CC=CC=C1OCCOC2=CC=CC=C2N(CC(=O)OCOC(=O)C)CC(=O)OCOC(=O)C,1
CCC1=CN=C(C=C1)C(=O)COC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,1
CCC(=O)C1=C(C=C(C=C1O)O)O,1
CC1(OC[C@H](O1)COC(=O)CCC2=CC=C(C=C2)OC[C@H](CNCCNC(=O)N3CCOCC3)O)C.Cl,1
C[C@@H](C/C=C/C1=CC(=CN=C1)OC(C)C)NC,1
C1CC1COC2=C(C=CC(=C2)C(=O)N=C3C(=CN(C=C3Cl)O)Cl)OC(F)F,1
CCC1=CC=CC=C1OC[C@H](CN[C@H]2CCCC3=CC=CC=C23)O.C(=O)(C(=O)O)O,1
CC1(C2=C(N=CN2C3=CC=CC=C3N1)C(=O)OC(C)(C)C)C,1
C1CCN(CC1)C2(CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F)C(=O)N,1
C(C[C@H](C(=O)O)N)CP(=O)(O)O,1
CC#CC1=CC(=CN=C1)C2=CC3=C(CC4([C@]35N=C(C(=N5)N)C)CCC(CC4)OC)C=C2,1
CC#CC1=CC(=CN=C1)C2=CC3=C(CC4([C@@]35N=C(C(=N5)N)C)CCC(CC4)OC)C=C2,1
C1CN(CCC1(CN2C=CC=CC2=O)O)CC3=CC=CC=C3.Cl,1
C[N+]1(CCC2=CC3=C(C=C2C1C4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3)C.[Br-],1
C[C@@H]1CCC[C@@H](N1CCCC(C2=CC=CC=C2)(C3=CC=CC=N3)O)C.Cl,1
C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O,1
C1CNCC(=C1)C(=O)O.Cl,1
C1CNCC=C1C(=O)O.Cl,1
C1=CC2=C(C=C1Cl)NC(=CC2=O)C(=O)O,1
C1=CC2=C(C=C1Cl)NC(=CC2=O)C(=O)[O-].[Na+],1
C1CCN(CC1)CC2COC3=CC=CC=C3O2.Cl,1
C1=CC2=C(C=CC=C2Cl)C(=C1)S(=O)(=O)NCCCCCCN.Cl,1
CCCCOC1=C(C=CC(=C1)CC2CNC(=O)N2)OC,1
C1=CC=C(C=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC(=CC=C4)Cl,1
CN(C)CCCSC1=CC=CC=C1NC(=O)/C=C/C2=CC=CC=C2.Cl,1
