Smiles,lable
O=[N+]([O-])c1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)cc1,1
O=[N+]([O-])c1cccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)c1,1
Oc1ccccc1C1CC(c2c3ccccc3cc3ccccc23)=NN1,1
Oc1ccc(C2CC(c3c4ccccc4cc4ccccc34)=NN2)c(O)c1,1
O=C1OCc2ccc(OCCCc3ccccc3)cc21,1
N#Cc1cccc(COc2ccc3c(c2)CCCC3=O)c1,1
O=C(Oc1ccccc1)N1N=C(c2ccccc2O)CC1c1ccc(Cl)cc1,1
CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,1
COc1cc(O)c2c(=O)c3cccc(O)c3oc2c1,1
C#CCN(C)CCc1ccc(O)c2ncccc12,1
Cc1cccc(/C=C/C(=N/NC(=O)c2snnc2C)c2ccc(Cl)cc2)c1,1
COc1ccc(/C=C/C(=N/NC(=O)c2snnc2C)c2ccc(Cl)cc2)cc1,1
Cc1ccc(/C=C/C(=N/NC(=O)c2snnc2C)c2ccc(Cl)cc2)cc1,1
Cc1ccc([C@H]2CC(c3cc(Br)ccc3O)=NN2C(=O)c2ccccc2)cc1,1
COc1ccc(C(/C=C/c2ccc(C)cc2)=N\NC(=O)c2snnc2C)cc1,1
COc1ccc(/C=C/C(=O)c2ccc(Br)cc2)cc1,1
Cc1ccc(NC(=S)N/N=C/c2ccc(-n3nc4c(c3C)N(C)S(=O)(=O)c3ccccc3-4)cc2)cc1,1
Cc1ccccc1NC(=S)N/N=C/c1ccc(-n2nc3c(c2C)N(C)S(=O)(=O)c2ccccc2-3)cc1,1
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc2c1,1
Fc1ccc(-c2csc(N/N=C/c3ccc(N4CCOCC4)cc3)n2)c(F)c1,1
Fc1ccc(-c2csc(N/N=C/c3ccc(N4CCOCC4)cc3)n2)cc1,1
C#CCN(C)c1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)cc1C#N,1
O=C(Cl)C1=Cc2cc(Br)ccc2CC1=O,1
Cc1ccc2c(c1)C=C(C(=O)Cl)C(=O)C2,1
O=C(Cl)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,1
O=C(Cl)C1=Cc2cc(Cl)ccc2CC1=O,1
O=C(Cl)C1=Cc2ccccc2CC1=O,1
O=C(O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,1
CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(C)c1,1
CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl,1
COc1ccc(C2CC(c3ccc(O)cc3O)=NN2C(C)=O)cc1,1
COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)cc1,1
CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1,1
CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(Cl)c1,1
CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(Cl)cc1,1
COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)c(OC)c1,1
CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(C)cc1,1
CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(Cl)cc1,1
Cn1c(=O)c2c(nc(OCc3cccc(Br)c3)n2C)n(C)c1=O,1
Cn1c(=O)c2c(nc(OCc3cccc(Cl)c3)n2C)n(C)c1=O,1
COc1ccc(-c2[nH]c3cc(C#N)c(C#N)cc3c2Cl)cc1,1
N#Cc1ccc(OCc2ccc(Br)cc2)cc1C#N,1
Cn1c(-c2cccs2)c(Cl)c2cc(C#N)c(C#N)cc21,1
Cc1ccc(-c2[nH]c3cc(C#N)c(C#N)cc3c2Cl)cc1,1
CC(=O)COc1ccc2c3c(c(=O)oc2c1C)CCCC3,1
Cc1cc(=O)oc2c(C)c(OC3CCCC3=O)ccc12,1
Cc1cc(=O)oc2cc(OC3CCCC3=O)ccc12,1
COc1cc2c3c(nccc3c1)-c1ccccc1C2=O,1
COC1=Cc2ccnc3c2c(cc2ccccc23)C1=O,1
COc1cc2c3c(c1)C(=O)c1ccccc1C3=NCC2,1
O=C1c2ccccc2-c2nccc3cc(O)cc1c23,1
COc1cc2c3c(c1O)C(=O)c1ccccc1C3=NCC2,1
C#CCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,1
C#CCCCCOc1ccc2c(C)cc(=O)oc2c1,1
CC(=O)Nc1cc2ccc(OCc3cccc(Cl)c3)cc2oc1=O,1
CCCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,1
C#CCCCCOc1ccc2cc(NC(C)=O)c(=O)oc2c1,1
COC(=O)c1cc2ccc(OCCc3ccc(Cl)cc3)cc2oc1=O,1
COC(=O)c1cc2ccc(OCc3cccc(F)c3)cc2oc1=O,1
Cc1nccc2c1[nH]c1cc(OCCCC(F)(F)F)ccc12,1
Cc1nccc2c1[nH]c1cc(OCC(C)C)ccc12,1
Cc1nccc2c1[nH]c1cc(OCC3CCCCC3)ccc12,1
C=CCOc1ccc2c(c1)[nH]c1c(C)nccc12,1
Cc1nccc2c1[nH]c1cc(OCCc3ccccc3)ccc12,1
Cc1nccc2c1[nH]c1cc(OCc3cccnc3)ccc12,1
Cc1nccc2c1[nH]c1cc(OCCO)ccc12,1
COCCOc1ccc2c(c1)[nH]c1c(C)nccc12,1
Cc1nccc2c1[nH]c1cc(OCc3ccncc3)ccc12,1
Cc1nccc2c1[nH]c1cc(OCc3ccc4ccccc4c3)ccc12,1
O=C1Nc2ccc(/C=C/c3ccccc3)cc2C1=O,1
CCCCSc1ccc(C[C@H](C)N)cc1,1
CCCSc1ccc(C[C@H](C)N)cc1,1
CCSc1ccc(C[C@H](C)N)cc1,1
Cl.N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccccc2)cc1,1
Cl.N[C@H]1C[C@H]1c1ccc(NC(=O)c2ccccc2)cc1,1
Cl.NC1CC1c1ccc(NC(=O)c2ccccc2)cc1,1
Cl.N[C@@H]1C[C@@H]1c1ccc(NC(=O)c2ccccc2)cc1,1
Cl.N[C@H]1C[C@@H]1c1ccc(NC(=O)c2ccccc2)cc1,1
Cl.N[C@H]1C[C@H]1c1cccc(NC(=O)c2ccccc2)c1,1
Cl.N[C@]1(CCc2ccccc2)C[C@H]1c1ccccc1,1
C[C@]1(N)C[C@@H]1c1ccccc1.O=C(O)C(F)(F)F,1
Cl.N[C@@]1(c2ccccc2)C[C@H]1c1ccccc1,1
Cl.N[C@@]1(c2ccccc2)C[C@@H]1c1ccccc1,1
Cl.N[C@@H]1C[C@H]1c1ccc(NC(=O)c2cccc(NC(=O)OCc3ccccc3)c2)cc1,1
Cl.N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccc(N3CCOC3=O)cc2)cc1,1
N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccccc2)cc1,1
Cl.N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccc(-c3ccoc3)cc2)cc1,1
Cl.N[C@@H]1C[C@H]1c1ccc(NC(=O)c2ccc(N3CCOCC3)cc2)cc1,1
Cl.N[C@@H]1C[C@H]1c1ccc(NC(=O)c2cccc(N3CCOC3=O)c2)cc1,1
C#CCN(C)CC(=C)c1ccoc1.O=C(O)C(=O)O,1
C#CCN(C)CC(=C)c1ccc(Br)cc1.Cl,1
C#CCN(C)CC(=C)c1ccc(Cl)c(Cl)c1.O=C(O)C(=O)O,1
C#CCN(C)CC(=C)c1cccc(COc2ccc(F)cc2)c1.O=C(O)C(=O)O,1
C#CCNCC(=C)c1cccc(OCc2cccc(F)c2)c1.O=C(O)C(=O)O,1
C#CCN(C)CC(=C)c1ccc(F)c(F)c1.O=C(O)C(=O)O,1
C#CCN(C)CC(=C)c1cccs1.Cl,1
